"","SPY.Open","SPY.High","SPY.Low","SPY.Close","SPY.Volume","SPY.Adjusted"
"2022-02-08",446.730010986328,451.920013427734,445.220001220703,450.940002441406,81012000,427.813262939453
"2022-02-09",455.220001220703,457.880004882812,455.010009765625,457.540008544922,92589900,434.074829101562
"2022-02-10",451.339996337891,457.709991455078,447.200012207031,449.320007324219,140103700,426.276397705078
"2022-02-11",449.410003662109,451.609985351562,438.940002441406,440.459991455078,153214600,417.870788574219
"2022-02-14",439.920013427734,441.600006103516,435.339996337891,439.019989013672,123006300,416.504577636719
"2022-02-15",443.730010986328,446.279998779297,443.179992675781,446.100006103516,88482700,423.221527099609
"2022-02-16",443.929992675781,448.059997558594,441.940002441406,446.600006103516,84863600,423.695953369141
"2022-02-17",443.220001220703,446.570007324219,436.420013427734,437.059997558594,102259100,414.645202636719
"2022-02-18",437.329986572266,438.660003662109,431.820007324219,434.230010986328,132642900,411.960327148438
"2022-02-22",431.890014648438,435.5,425.859985351562,429.570007324219,124391800,407.539276123047
"2022-02-23",432.660003662109,433.260009765625,421.350006103516,421.950012207031,132578000,400.31005859375
"2022-02-24",411.019989013672,428.760009765625,410.640014648438,428.299987792969,213942900,406.334381103516
"2022-02-25",429.609985351562,437.839996337891,427.859985351562,437.75,121804500,415.299743652344
"2022-02-28",432.029998779297,438.200012207031,430.700012207031,436.630004882812,145615000,414.237182617188
"2022-03-01",435.040008544922,437.170013427734,427.109985351562,429.980010986328,137785900,407.928253173828
"2022-03-02",432.369995117188,439.720001220703,431.570007324219,437.890014648438,117726500,415.432647705078
"2022-03-03",440.470001220703,441.109985351562,433.799987792969,435.709991455078,105501700,413.364410400391
"2022-03-04",431.75,433.369995117188,427.880004882812,432.170013427734,113978200,410.005981445312
"2022-03-07",431.549987792969,432.299987792969,419.359985351562,419.429992675781,137896600,397.919311523438
"2022-03-08",419.619995117188,427.209991455078,415.119995117188,416.25,164772700,394.902465820312
"2022-03-09",425.140014648438,429.510009765625,422.820007324219,427.410003662109,116990800,405.490112304688
"2022-03-10",422.519989013672,426.429992675781,420.440002441406,425.480010986328,93972700,403.659057617188
"2022-03-11",428.119995117188,428.769989013672,419.529998779297,420.070007324219,95636300,398.526519775391
"2022-03-14",420.890014648438,424.549987792969,415.790008544922,417,95729200,395.613922119141
"2022-03-15",419.769989013672,426.839996337891,418.420013427734,426.170013427734,106219100,404.313690185547
"2022-03-16",429.890014648438,435.679992675781,424.799987792969,435.619995117188,144954800,413.278961181641
"2022-03-17",433.589996337891,441.070007324219,433.190002441406,441.070007324219,102676900,418.449523925781
"2022-03-18",438,444.859985351562,437.220001220703,444.519989013672,106345500,423.032653808594
"2022-03-21",444.339996337891,446.459991455078,440.679992675781,444.390014648438,88349800,422.909027099609
"2022-03-22",445.859985351562,450.579986572266,445.859985351562,449.589996337891,74650400,427.857604980469
"2022-03-23",446.910003662109,448.489990234375,443.709991455078,443.799987792969,79426100,422.347534179688
"2022-03-24",445.940002441406,450.5,444.760009765625,450.489990234375,64736900,428.714141845703
"2022-03-25",451.160003662109,452.980010986328,448.429992675781,452.690002441406,77101300,430.807769775391
"2022-03-28",452.059997558594,455.910003662109,450.059997558594,455.910003662109,68529800,433.872131347656
"2022-03-29",460.019989013672,462.070007324219,457.179992675781,461.549987792969,86581500,439.239532470703
"2022-03-30",460.339996337891,461.200012207031,456.470001220703,458.700012207031,79666900,436.527282714844
"2022-03-31",457.890014648438,458.760009765625,451.160003662109,451.640014648438,121699900,429.808532714844
"2022-04-01",453.309997558594,453.459991455078,449.140014648438,452.920013427734,89048800,431.026641845703
"2022-04-04",453.130004882812,456.910003662109,452.260009765625,456.799987792969,59601000,434.719116210938
"2022-04-05",455.220001220703,457.829986572266,449.820007324219,451.029998779297,74214500,429.228057861328
"2022-04-06",446.890014648438,448.929992675781,443.470001220703,446.519989013672,106898000,424.93603515625
"2022-04-07",445.589996337891,450.690002441406,443.529998779297,448.769989013672,78097200,427.077270507812
"2022-04-08",447.970001220703,450.630004882812,445.940002441406,447.570007324219,79272700,425.935241699219
"2022-04-11",444.109985351562,445,439.390014648438,439.920013427734,89770500,418.655120849609
"2022-04-12",443.079986572266,445.75,436.649993896484,438.290008544922,84363600,417.103881835938
"2022-04-13",438.029998779297,444.109985351562,437.839996337891,443.309997558594,74070400,421.881195068359
"2022-04-14",443.549987792969,444.730010986328,437.679992675781,437.790008544922,97869500,416.628021240234
"2022-04-18",436.809997558594,439.75,435.609985351562,437.970001220703,66002500,416.79931640625
"2022-04-19",437.859985351562,445.799987792969,437.679992675781,445.040008544922,77821000,423.527557373047
"2022-04-20",446.920013427734,447.570007324219,443.480010986328,444.709991455078,65224400,423.213500976562
"2022-04-21",448.540008544922,450.010009765625,437.100006103516,438.059997558594,85417300,416.884948730469
"2022-04-22",436.910003662109,438.079986572266,425.440002441406,426.040008544922,132471800,405.445983886719
"2022-04-25",423.670013427734,428.690002441406,418.839996337891,428.510009765625,119647700,407.796600341797
"2022-04-26",425.829986572266,426.040008544922,416.070007324219,416.100006103516,103996300,395.986419677734
"2022-04-27",417.239990234375,422.920013427734,415.010009765625,417.269989013672,122030000,397.099884033203
"2022-04-28",422.290008544922,429.640014648438,417.600006103516,427.809997558594,105449100,407.130462646484
"2022-04-29",423.589996337891,425.869995117188,411.209991455078,412,145491100,392.084594726562
"2022-05-02",412.070007324219,415.920013427734,405.019989013672,414.480010986328,158312500,394.444763183594
"2022-05-03",415.010009765625,418.929992675781,413.359985351562,416.380004882812,100028200,396.252899169922
"2022-05-04",417.079986572266,429.660003662109,413.709991455078,429.059997558594,144247900,408.319976806641
"2022-05-05",424.549987792969,425,409.440002441406,413.809997558594,172929100,393.807159423828
"2022-05-06",411.100006103516,414.799987792969,405.730010986328,411.339996337891,151770800,391.45654296875
"2022-05-09",405.100006103516,406.410003662109,396.5,398.170013427734,155586100,378.923187255859
"2022-05-10",404.489990234375,406.079986572266,394.820007324219,399.089996337891,132497200,379.798706054688
"2022-05-11",398.070007324219,404.040008544922,391.959991455078,392.75,142361000,373.765197753906
"2022-05-12",389.369995117188,395.799987792969,385.149993896484,392.339996337891,125090800,373.375030517578
"2022-05-13",396.709991455078,403.179992675781,395.609985351562,401.720001220703,104174400,382.301544189453
"2022-05-16",399.980010986328,403.970001220703,397.600006103516,400.089996337891,78622400,380.750366210938
"2022-05-17",406.529998779297,408.570007324219,402.579986572266,408.320007324219,83029700,388.582550048828
"2022-05-18",403.5,403.799987792969,390.549987792969,391.859985351562,117674500,372.918151855469
"2022-05-19",388.619995117188,394.140014648438,387.109985351562,389.459991455078,98510700,370.634155273438
"2022-05-20",393.25,397.029998779297,380.540008544922,389.630004882812,131432200,370.795959472656
"2022-05-23",392.829986572266,397.730010986328,390.380004882812,396.920013427734,76414900,377.733642578125
"2022-05-24",392.559997558594,395.149993896484,386.959991455078,393.890014648438,91448800,374.850006103516
"2022-05-25",392.309997558594,399.450012207031,391.890014648438,397.369995117188,91472900,378.161895751953
"2022-05-26",398.670013427734,407.040008544922,398.450012207031,405.309997558594,82168300,385.718017578125
